,N,chi,f_tree,f_std_tree,f_mps,f_std_mps,f_omps,f_std_omps,mem_tree,mem_std_tree,mem_mps,mem_std_mps,mem_omps,mem_std_omps
0,30,1,0.16170642419830855,0.09922216187487862,0.16170642419830988,0.0992221618748796,0.16170642419830983,0.09922216187487953,20.0,0.0,20.0,0.0,20.0,0.0
1,30,4,0.5989919442676828,0.2010415443628261,0.5336283167281628,0.17178012565641532,0.6399302734624696,0.20244457823664447,301.0,87.68922396737241,208.0,21.166010488516726,206.0,26.0
2,30,7,0.8357542970371972,0.14349479003097396,0.7473950839644445,0.16095472269941724,0.8311821435073267,0.14790615454786663,631.0,167.08261429604218,519.6,38.81546083714581,462.8,69.7693342379014
3,30,10,0.9405179287576846,0.06572846759241129,0.8813954835651501,0.1067799904604467,0.9275749421397608,0.09215002815634332,910.6,162.1173648934623,829.1,79.44929200439736,674.7,182.12443548299606
4,30,13,0.9803108055626064,0.022786393342415855,0.9417359909010751,0.05871613874063351,0.9689132394242719,0.04259667164569011,1141.6,129.2402414111023,1141.8,165.80096501528573,905.8,285.327110524044
5,30,16,0.9944494134207016,0.009870814150401428,0.9813765402097614,0.025767243957104766,0.9958813229374378,0.007433178815536362,1397.8,243.46326211566296,1442.2,342.3710852277101,1101.3,467.9201961873413
6,30,19,0.9974233481769774,0.004496937306943313,0.9900821160525503,0.014118841367374051,0.9979054098795169,0.0037712207553652643,1489.0,289.82442961213604,1561.6,429.2601076270657,1167.9,547.9187804775449
7,30,22,0.9983685305463859,0.0035500899819939447,0.9956625625509338,0.005910343665483957,0.9991139971921325,0.0015773965780268764,1580.2,360.37863421684693,1682.2,521.4521646325768,1224.9,623.5875159109586
8,30,25,0.9993965556309854,0.001336934873608697,0.9982614655664991,0.002693380027951239,0.999646675191619,0.0006456553195887743,1671.4,443.73194611161364,1791.0,607.3359860900719,1288.5,710.5926751663009
9,30,28,0.9997937280829013,0.000441403099904686,0.9993688070602149,0.001168454007735618,0.9999050653581503,0.00019751548470010345,1762.6,533.9232529118768,1899.8,695.0444302344995,1346.1,791.7728146381386
10,30,31,0.9999022397317683,0.000337316269184197,0.9998867516171929,0.0002032093472060278,0.9999877653816069,2.645161996678468e-05,1853.8,628.0133438072793,1937.0,762.2384141461253,1403.7,874.2707303804697
11,30,34,0.999999999999978,9.382205693022576e-15,0.9999999999955488,1.9349433352929855e-11,0.9999999999999882,3.5256355363920944e-15,1884.2,659.9569379891387,1847.0,786.3695060211834,1422.9,902.0005487803209
12,30,37,0.999999999999978,9.382205693022576e-15,0.9999999999955488,1.9349433352929855e-11,0.9999999999999882,3.5256355363920944e-15,1884.2,659.9569379891387,1847.0,786.3695060211834,1422.9,902.0005487803209
13,30,40,0.999999999999978,9.382205693022576e-15,0.9999999999955488,1.9349433352929855e-11,0.9999999999999882,3.5256355363920944e-15,1884.2,659.9569379891387,1847.0,786.3695060211834,1422.9,902.0005487803209
