,N,chi,f_tree,f_mps,f_omps,mem_tree,mem_mps,mem_omps
0,50,5,0.16773252857682838,0.09601078054064513,0.15723880367208698,352,320,320
1,50,6,0.09279878646967256,0.1239842421230458,0.1875389645994944,436,424,424
2,50,7,0.17464205482245856,0.17890670790566926,0.22454176853728247,528,544,544
3,50,8,0.2680367440209816,0.28403724993945756,0.23666586615364463,628,680,680
4,50,9,0.3203336177124276,0.34200564771776926,0.2647679389721087,692,780,780
5,50,10,0.3681093589275212,0.4077292191221413,0.355162160297547,756,888,888
6,50,11,0.4331705034658636,0.4537775430454767,0.3756083909531847,820,1004,1004
7,50,12,0.49583891166746924,0.515245846775185,0.44584553120516,884,1128,1128
8,50,13,0.5264348967598397,0.5677086155500779,0.5016192297045844,948,1260,1260
9,50,14,0.5925770060789189,0.6250231728638246,0.5533933398104648,1012,1400,1400
10,50,15,0.6392694284956183,0.683816168268438,0.6222562242244554,1076,1548,1548
11,50,16,0.7011166351102285,0.7684769373972478,0.717513518313881,1140,1704,1704
12,50,17,0.7234950204839022,0.7972198597570458,0.750797171320844,1204,1768,1768
13,50,18,0.7682303594653447,0.834443791105388,0.7819000591955415,1268,1832,1832
14,50,19,0.802037410258803,0.8520056907941886,0.8148492420034972,1332,1896,1896
15,50,5,0.13296916977754764,0.12505882341450741,0.19101030166024127,388,320,320
16,50,6,0.1640828422946187,0.15771140759930105,0.2493365088068012,452,424,424
17,50,7,0.2227889737217116,0.16635857564885848,0.2841661099996329,516,544,544
18,50,8,0.25555961023798907,0.21607303895440277,0.31437970936965065,580,680,680
19,50,9,0.2885994399904731,0.23971672128667681,0.35405878707176625,644,780,780
20,50,10,0.3338919827485673,0.2664439709066817,0.37937515957188,708,888,888
21,50,11,0.3846417909864867,0.3047869604618549,0.4151105986273345,772,1004,1004
22,50,12,0.42071054620845155,0.3267750048320371,0.4521553884595068,836,1128,1128
23,50,13,0.4657988422023903,0.3704205234728724,0.5038640950118967,900,1260,1260
24,50,14,0.5059788566597971,0.44024406081153444,0.553990495981898,964,1400,1400
25,50,15,0.5404564035505354,0.500668996775055,0.5994604419577636,1028,1548,1548
26,50,16,0.575670226567821,0.6024945693106953,0.6731565736653503,1092,1704,1704
27,50,17,0.6126425532819275,0.6441278186118538,0.7095209375613504,1156,1768,1768
28,50,18,0.6568461999967566,0.679982561083008,0.745009560478031,1220,1832,1832
29,50,19,0.6952809536170109,0.7186629885377358,0.7762836881833843,1284,1896,1896
30,50,5,0.06569620560357908,0.04416752626977022,0.07873873217701426,532,278,320
31,50,6,0.07689444781807422,0.0422329404802519,0.07751421211916928,724,424,424
32,50,7,0.16624090760273785,0.08796033762121394,0.09742077361382695,948,544,544
33,50,8,0.19302813358408388,0.08642163577768439,0.11123960720881021,1204,680,680
34,50,9,0.2992456057182522,0.1530848250304397,0.12171888699904816,1204,780,780
35,50,10,0.3496959633265272,0.18554826819258655,0.13094265336114674,1204,888,888
36,50,11,0.4296894715644026,0.20816133605094855,0.17965591571799472,1204,1004,1004
37,50,12,0.5451521214525448,0.2325960221808288,0.23804510001337512,1204,1128,1128
38,50,13,0.6589675412892272,0.2591000986230002,0.2588767604987792,1204,1260,1260
39,50,14,0.7632423982477291,0.26819370207777077,0.30949678883047144,1204,1400,1400
40,50,15,0.8752928946572749,0.311320291119064,0.3081088701117952,1204,1548,1548
41,50,16,0.9999999999999629,0.3380544288077755,0.34066556021762145,1204,1704,1704
42,50,17,0.9999999999999629,0.40344400299756333,0.3857871701874716,1204,1768,1768
43,50,18,0.9999999999999629,0.42387615719484445,0.422059864715965,1204,1832,1832
44,50,19,0.9999999999999629,0.4517488999275031,0.4637820673123709,1204,1896,1896
45,50,5,0.06861932478413024,0.04273265351289312,0.06543746705490325,306,320,320
46,50,6,0.09621205204432544,0.04628269199144767,0.11519416086669407,396,424,424
47,50,7,0.12076132884031783,0.07034088858624263,0.16675720223924206,498,544,544
48,50,8,0.2019387966535783,0.14726677195201934,0.2222658590436983,612,680,680
49,50,9,0.25419058570925945,0.165094433866224,0.2848863869654254,694,780,780
50,50,10,0.3300955506449519,0.1870005498976864,0.3281450495718745,780,888,888
51,50,11,0.38784193861531696,0.2094297305088772,0.39726161348385103,870,1004,1004
52,50,12,0.45981146793665517,0.24737449652542084,0.466689738676551,964,1128,1128
