,N,chi,f_tree,f_std_tree,f_mps,f_std_mps,f_btree,f_std_btree,mem_tree,mem_std_tree,mem_mps,mem_std_mps,mem_btree,mem_std_btree
0,10,1,0.7353333597682873,0.13958278640930444,0.7353333597682897,0.13958278640930497,0.7353333597682873,0.13958278640930444,20.0,0.0,20.0,0.0,20.0,0.0
1,10,4,0.999999999999992,1.7701008185763618e-15,0.9985713468702629,0.00428595938919939,0.999999999999992,1.7701008185763618e-15,386.0,254.4468510318019,114.4,51.363800482440936,386.0,254.4468510318019
2,10,7,0.9999137012410928,0.0002588962766961189,0.9999605366072911,0.00011839017811506868,0.9999137012410928,0.0002588962766961189,668.0,201.77214872226543,119.2,59.27697698094936,668.0,201.77214872226543
3,10,10,0.9991715197410912,0.0024854407767011754,0.9999999999999961,1.9585290785784033e-15,0.9991715197410912,0.0024854407767011754,906.0,141.87600219910343,120.8,62.432043054828824,906.0,141.87600219910343
4,10,13,0.9995744312826897,0.001276706151907207,0.9999999999999961,1.9585290785784033e-15,0.9995744312826897,0.001276706151907207,1096.8,99.86470848102446,120.8,62.432043054828824,1096.8,99.86470848102446
5,10,16,0.9999300648653726,0.00020980540385756954,0.9999999999999961,1.9585290785784033e-15,0.9999300648653726,0.00020980540385756954,1294.8,142.53757399366665,120.8,62.432043054828824,1294.8,142.53757399366665
6,10,19,0.999956844315436,0.0001294670536680383,0.9999999999999961,1.9585290785784033e-15,0.999956844315436,0.0001294670536680383,1371.6,146.68005999453368,120.8,62.432043054828824,1371.6,146.68005999453368
7,10,22,0.9998511981778748,0.0004464054663514997,0.9999999999999961,1.9585290785784033e-15,0.9998511981778748,0.0004464054663514997,1448.4,201.01701420526572,120.8,62.432043054828824,1448.4,201.01701420526572
8,10,25,0.9999205335218375,0.00023839943446293625,0.9999999999999961,1.9585290785784033e-15,0.9999205335218375,0.00023839943446293625,1525.2,277.48037768462115,120.8,62.432043054828824,1525.2,277.48037768462115
9,10,28,0.9999956034354536,1.3189693615545119e-05,0.9999999999999961,1.9585290785784033e-15,0.9999956034354536,1.3189693615545119e-05,1602.0,362.3225082712914,120.8,62.432043054828824,1602.0,362.3225082712914
10,20,1,0.3037095887022109,0.13563913458200708,0.3037095887022136,0.1356391345820083,0.3037095887022109,0.13563913458200708,20.0,0.0,20.0,0.0,20.0,0.0
11,20,4,0.9237030128801343,0.09724588823770837,0.874165780003716,0.08591050923157045,0.9237030128801343,0.09724588823770837,315.6,106.590055821357,189.4,32.582817557725114,315.6,106.590055821357
12,20,7,0.9613080798075704,0.0995506006852474,0.9700204326460226,0.028805474202437197,0.9613080798075704,0.0995506006852474,624.0,184.74631254777455,352.8,102.60292393494447,624.0,184.74631254777455
13,20,10,0.980289990128119,0.055267999825963705,0.9944459330715562,0.009403343416875891,0.980289990128119,0.055267999825963705,884.4,160.88206860927664,496.4,179.90619778095473,884.4,160.88206860927664
14,20,13,0.9891908569768442,0.03157538049991501,0.999131795579921,0.0013151947690870425,0.9891908569768442,0.03157538049991501,1110.6,106.69601679537995,614.6,290.0828157612926,1110.6,106.69601679537995
15,20,16,0.9998947081153853,0.0001778186357946709,0.9999999999999947,2.558335459435604e-15,0.9998947081153853,0.0001778186357946709,1362.0,204.20577856662138,646.8,355.1362555414471,1362.0,204.20577856662138
16,20,19,0.9998824138659845,0.00015220838788042152,0.9999999999999947,2.558335459435604e-15,0.9998824138659845,0.00015220838788042152,1438.8,202.16468534341007,646.8,355.1362555414471,1438.8,202.16468534341007
17,20,22,0.9999073739126002,0.00015138478704473875,0.9999999999999947,2.558335459435604e-15,0.9999073739126002,0.00015138478704473875,1515.6,240.28283334437356,646.8,355.1362555414471,1515.6,240.28283334437356
18,20,25,0.9999262393725452,0.00013226253797666066,0.9999999999999947,2.558335459435604e-15,0.9999262393725452,0.00013226253797666066,1592.4,303.80230413872766,646.8,355.1362555414471,1592.4,303.80230413872766
19,20,28,0.9999793188536434,2.9827508389200805e-05,0.9999999999999947,2.558335459435604e-15,0.9999793188536434,2.9827508389200805e-05,1669.2,380.1980536509886,646.8,355.1362555414471,1669.2,380.1980536509886
