,N,chi,f_tree,f_std_tree,f_mps,f_std_mps,f_btree,f_std_btree,mem_tree,mem_std_tree,mem_mps,mem_std_mps,mem_btree,mem_std_btree
19,110,16,0.20585077640388091,0.15445847976524016,0.0768798144732854,0.04493823666502095,0.1600317685740476,0.06540093556223145,1337.6,127.48897991591274,1704.0,0.0,1444.0,0.0
20,110,19,0.3308059797764663,0.1654409311333319,0.15538437711754854,0.05570250612681496,0.2762971821161889,0.08393988083138501,1376.0,57.35503465259175,1896.0,0.0,1492.0,96.0
21,160,1,2.1429949455842202e-05,2.0686088822590638e-05,2.1429949455843005e-05,2.0686088822590997e-05,2.1429949455842026e-05,2.0686088822590265e-05,20.0,0.0,20.0,0.0,20.0,0.0
22,160,4,0.00012676582930295398,6.563789611243225e-05,7.151978767436496e-05,5.634295589215257e-05,4.344233884565928e-05,4.20594861943703e-05,302.4,66.28906395477311,217.6,19.2,260.0,0.0
23,160,7,0.00045391990331281236,0.0005106017385597852,0.0002833695884639142,0.0001262400170205822,0.00015373848658620487,0.00015507202768921092,582.0,61.410096889680936,544.0,0.0,638.0,0.0
24,160,10,0.0019224751225123582,0.0015477436858438013,0.0005994117363559017,0.0005688300304771035,0.0005650227147285724,0.0003301911605092582,872.0,54.08142009969783,888.0,0.0,964.0,0.0
25,160,13,0.013851034626674133,0.012178730876939579,0.003816541965490162,0.0026037607314737953,0.003143350691133276,0.0027295337671137186,1164.8,51.6852009766819,1260.0,0.0,1204.0,0.0
26,160,16,0.1163950425485694,0.10589879902767828,0.022245809504098685,0.017367895219727272,0.03340424224661799,0.01857412407613205,1486.4,136.85846703803165,1704.0,0.0,1444.0,0.0
27,160,19,0.19882039849668992,0.15879220462016086,0.06038441323704914,0.03631422546591697,0.08423516377992532,0.029555587995245408,1524.8,191.6563591431289,1896.0,0.0,1444.0,0.0
28,210,1,2.87474461015527e-06,1.9733522971432986e-06,2.874744610155514e-06,1.973352297143442e-06,2.874744610155311e-06,1.9733522971432774e-06,20.0,0.0,20.0,0.0,20.0,0.0
29,210,4,1.6847802715286927e-05,1.0881088861257084e-05,1.8186525764552434e-05,2.469219500036626e-05,1.3297368641468793e-05,1.2399543284775453e-05,245.6,15.304901175767192,209.2,45.6,260.0,0.0
30,210,7,3.624956827049407e-05,2.95565456177839e-05,3.4716684588143434e-05,2.1641858124327166e-05,2.9025956765892682e-05,1.7560330617848035e-05,528.8,16.998823488700623,544.0,0.0,638.0,0.0
31,210,10,0.00010776824622711792,0.00014294697359983896,0.0002721906171118672,0.00015894103825740742,0.00013286208143743652,7.696384926658395e-05,816.8,37.47212297161718,888.0,0.0,964.0,0.0
32,210,13,0.00046849482407865977,0.0005285578741787413,0.0009347776092203013,0.0008338607668719069,0.0006214210602085575,0.0002309226551334854,1098.8,85.90785761500516,1260.0,0.0,1204.0,0.0
33,210,16,0.0014331560369981171,0.0007722759146892601,0.005087214805681431,0.003395100940123744,0.006373894027914407,0.0033416361384290606,1416.8,163.19607838425532,1704.0,0.0,1444.0,0.0
34,210,19,0.005140489614435176,0.0030472601331935434,0.016982774468025548,0.006442756384486463,0.030273655849779278,0.012114466092344223,1650.8,193.12835110361192,1896.0,0.0,1492.0,96.0
